2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:37 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
2020-04-23 03:30:38 ERROR StartProcessIngesta:50 - Stand Alone process - No Exist File: bn_ripley/historico/2019/12/VIRTUAL/26/METADATA_C26.12.2019_556_VIRTUAL.csv - CSV: Reporte [nomenclatura_pdf=null, dni=null, s3_url=null]
